,MDS_x,MDS_y,Entity,Code,Continent,tsne_x,tsne_y,scluster6,kmeans6
1980,-0.4182589586125475,1.1086372754547231,Myanmar,MMR,Asia,0.5016897,0.00845315,0,2
1995,-3.4735706058601297,0.9561068813211686,Namibia,NAM,Africa,-4.7930093,-4.7926397,0,0
2010,-2.075862638844403,1.0801547371311426,Nepal,NPL,Asia,-2.357215,-2.7253664,0,0
2025,6.526618023090065,-3.537989118014133,Netherlands,NLD,Europe,14.012585,12.9952135,2,1
2040,1.46611561203121,0.2499328396119663,New Caledonia,NCL,Oceania,5.310186,3.4687433,0,2
2055,4.570942260213966,-2.9617755659287814,New Zealand,NZL,Oceania,12.028338,10.967379,2,1
2070,-2.573437951305122,3.445423564117689,Nicaragua,NIC,North America,-1.2590187,-5.424267,0,0
2085,-9.942527247050565,-0.352788461276037,Niger,NER,Africa,-15.22417,-10.687347,4,4
2100,-6.4091812206749,-0.6653506422181654,Nigeria,NGA,Africa,-12.411616,-11.563779,4,4
2115,2.90729216045887,-0.07803824029186776,North Korea,PRK,Asia,7.5316267,5.6164827,3,3
2130,4.3920077717032955,-0.07296442077945427,North Macedonia,MKD,Europe,8.047077,8.322875,3,3
2145,-2.585451479344633,1.8938828097977247,Northern Africa,,,-2.3708656,-4.248471,0,0
2160,5.3553059463146635,-4.01975846328978,Northern America,,,13.371322,11.912378,2,1
2175,6.6870039428797945,-6.191296711489368,Northern Europe,,,15.606534,17.317709,5,5
2190,6.276819717216635,-5.955828826448325,Norway,NOR,Europe,15.126749,17.558313,5,5
2205,3.080703359574032,-2.606093243509813,Oceania,,,11.45655,9.653445,2,1
2220,-3.6433643856632165,4.00883061886787,Oman,OMN,Asia,-1.3701775,-7.708819,0,0
2235,-4.1219918153374735,0.6914059526178189,Pakistan,PAK,Asia,-7.619975,-7.938675,4,0
2250,-6.149177820608026,2.4849175708811977,Palestine,PSE,Asia,-11.059181,-7.1928253,4,4
2265,0.046408014038184,1.6422464044319802,Panama,PAN,North America,2.6982775,0.44100586,0,2
2280,-3.4292244651515835,0.6978574970246252,Papua New Guinea,PNG,Oceania,-4.991718,-4.6152453,0,0
2295,-1.9691740546409464,2.549767567284453,Paraguay,PRY,South America,-0.5373116,-3.7288363,0,0
2310,-1.1160099782621857,2.4960725672216273,Peru,PER,South America,1.132131,-2.7134168,0,2
2325,-2.4971633636259534,2.6570219225275387,Philippines,PHL,Asia,-1.3033645,-4.189165,0,0
2340,5.940524256700502,-2.5271302344268074,Poland,POL,Europe,12.096074,12.763743,2,1
2355,6.89131111057413,-2.7935565567558562,Portugal,PRT,Europe,14.27142,13.156827,2,1
2370,4.122567611958588,1.0544937893076662,Puerto Rico,PRI,North America,7.233346,7.7057486,3,3
2385,1.0396762917528637,3.5696858847502115,Qatar,QAT,Asia,1.4036514,2.9020178,1,2
2400,1.5573057681872495,2.729220402835749,Reunion,REU,Africa,5.3601265,1.132879,0,2
2415,6.225388299481216,-3.4542352877215703,Romania,ROU,Europe,13.300144,13.369454,2,1
2430,6.496802708505852,-3.0666779768387387,Russia,RUS,Europe,12.635719,13.816189,2,1
2445,-6.8133880471831585,2.771556208812796,Rwanda,RWA,Africa,-11.725562,-7.1123343,4,4
2460,0.5849873004751116,3.4212729468073966,Saint Lucia,LCA,North America,4.1674275,-1.2698367,0,2
2475,-0.1280775504364618,4.317711283913466,Saint Vincent and the Grenadines,VCT,North America,3.1178882,-2.8458135,0,2
2490,-4.844690134310772,2.81362467724235,Samoa,WSM,Oceania,-6.060159,-7.3497987,0,0
2505,-4.952816132571388,-1.0893679783838408,Sao Tome and Principe,STP,Africa,-9.142371,-12.770281,4,4
2520,-2.8347255984671267,3.324384082908225,Saudi Arabia,SAU,Asia,-1.2068316,-7.2867293,0,0
2535,-6.1212798402815904,0.8388083959285757,Senegal,SEN,Africa,-11.182387,-9.267958,4,4
2550,6.14163554974381,-3.2309855431154677,Serbia,SRB,Europe,12.943576,13.21327,2,1
2565,1.1272770225607247,-0.055616081972334405,Seychelles,SYC,Africa,5.594732,2.8776977,0,2
2580,-5.645483849237038,-0.6780168424464407,Sierra Leone,SLE,Africa,-10.859047,-11.808161,4,4
