country,age,sex,MDS_x,MDS_y,tsne_x,tsne_y,scluster6,kmeans6,ms
Mauritius,75+ years,female,3.364429220517989,-3.8569910971770134,30.72927,-35.794693,4,1,0
Mauritius,75+ years,male,-1.2420244836618493,-5.442784418035164,-0.8937225,0.41977412,4,3,40
Mexico,15-24 years,female,3.327249161179193,-3.2376519561037567,-32.464855,-6.9557705,4,1,0
Mexico,15-24 years,male,1.496671064212532,-3.4962205046397936,-0.9838821,-18.54549,4,1,0
Mexico,25-34 years,female,3.6458353973027653,-3.188176246163362,-33.38539,-6.413151,4,1,0
Mexico,25-34 years,male,1.344436737136059,-3.5198699566906013,-1.5473813,-18.046446,4,1,0
Mexico,35-54 years,female,3.7170966391258773,-3.181118280696321,-33.802914,-5.820027,4,1,0
Mexico,35-54 years,male,1.655522125216334,-3.4747305045499624,-1.4329599,-19.171549,4,1,0
Mexico,5-14 years,female,3.9948391482575136,-3.1465069318482106,-35.448586,-4.592347,4,1,0
Mexico,5-14 years,male,3.9079895111043386,-3.160157160853404,-34.68595,-4.892262,4,1,0
Mexico,55-74 years,female,3.8247375057744746,-3.1699185449094216,-34.77499,-5.859753,4,1,0
Mexico,55-74 years,male,1.6293236369659034,-3.480493445801926,-2.0519197,-18.847786,4,1,0
Mexico,75+ years,female,3.9485105646425804,-3.1551018769649666,-35.733376,-5.4261594,4,1,0
Mexico,75+ years,male,0.15706615883802447,-3.726845303137068,-0.85490733,-10.411761,4,3,4
Netherlands,15-24 years,female,2.1017549322473137,4.068299637214329,-32.63931,39.022205,4,0,1
Netherlands,15-24 years,male,0.6954219089034901,3.8565683473599544,-24.326393,45.901695,4,0,1
Netherlands,25-34 years,female,1.5277594791904592,3.9792367293114115,-32.265152,39.063587,4,0,1
Netherlands,25-34 years,male,-0.778193946549829,3.6419582679537936,-9.631607,46.038967,4,0,10
Netherlands,35-54 years,female,0.5881747026409664,3.841041534961573,-23.760044,45.742615,4,0,1
Netherlands,35-54 years,male,-2.4028333173677616,3.433792495036632,-2.2988288,55.059315,4,0,3
Netherlands,5-14 years,female,2.9913420207477825,4.185414536696056,-45.38186,39.274956,4,0,1
Netherlands,5-14 years,male,2.924688901342275,4.177105067438297,-45.335545,39.277805,4,0,1
Netherlands,55-74 years,female,0.4948234174659969,3.834374068618572,-23.731836,45.14461,4,0,1
Netherlands,55-74 years,male,-1.75147995636883,3.5478768728755488,-2.115413,55.16933,4,0,3
Netherlands,75+ years,female,0.7787391076880228,3.870291141736066,-24.90628,45.2774,4,0,1
Netherlands,75+ years,male,-3.719463861929799,3.165261853141594,5.799656,52.179264,4,4,3
Norway,15-24 years,female,0.5868152205643579,9.671701858090772,63.64962,23.811464,0,5,7
Norway,15-24 years,male,-2.83403771928925,9.24140184680083,58.149494,32.377544,0,5,9
Norway,25-34 years,female,0.25077807209076297,9.63178266775836,62.715218,23.843199,0,5,7
Norway,25-34 years,male,-3.4800931442482166,9.119682857403818,58.429264,33.15442,0,5,9
Norway,35-54 years,female,-0.30311290814791964,9.554226302071815,62.412743,24.752327,0,5,7
Norway,35-54 years,male,-3.4153552127275852,9.126130726591619,58.094223,33.748627,0,5,9
Norway,5-14 years,female,2.2058143233959453,9.878849931701753,64.747536,22.10831,0,5,7
Norway,5-14 years,male,2.0878079359933936,9.865665700488492,64.235504,21.857203,0,5,7
Norway,55-74 years,female,-0.10630779818925115,9.585046179959585,63.22187,24.816135,0,5,7
Norway,55-74 years,male,-3.6051252158912748,9.103411756740554,57.42368,33.099453,0,5,9
Norway,75+ years,female,0.9480912607102959,9.725010522834983,63.461926,23.072306,0,5,7
